Date,Close/Last,Volume,Open,High,Low
09/13/2017,250.17,58999620,249.72,250.21,249.59
09/12/2017,250.05,56617170,249.63,250.09,249.42
09/11/2017,249.21,71248670,248.04,249.3,248.02
09/08/2017,246.58,63733100,246.54,247.11,246.3
09/07/2017,246.87,57769340,247.25,247.27,246.4
09/06/2017,246.9,57577360,246.84,247.28,246.23
09/05/2017,246.06,90176820,247.26,247.52,244.95
09/01/2017,247.84,61928670,247.92,248.33,247.67
08/31/2017,247.49,102987700,246.72,247.77,246.0473
08/30/2017,246.01,61742150,244.83,246.32,244.62
08/29/2017,244.85,50873040,243.06,245.15,242.93
08/28/2017,244.57,38914700,245.17,245.2,244.09
08/25/2017,244.56,63764770,244.9,245.61,244.39
08/24/2017,243.99,50537170,245,245.18,243.75
08/23/2017,244.56,49991840,244.33,245.05,244.16
08/22/2017,245.44,62968970,243.57,245.62,243.55
08/21/2017,242.9,65355480,242.64,243.2,241.83
08/18/2017,242.71,136647500,242.9,244.189,242.2
08/17/2017,243.09,127904900,246.24,246.6,243.09
08/16/2017,246.94,56456130,247.11,247.57,246.45
08/15/2017,246.51,55046030,246.98,247,246.16
08/14/2017,246.54,73068140,245.59,246.79,245.55
08/11/2017,244.12,74719460,244.02,244.8,243.75
08/10/2017,243.76,119874200,246.29,246.44,243.7
08/09/2017,247.25,62302650,246.47,247.31,246.06
08/08/2017,247.26,61437080,247.51,248.91,246.83
08/07/2017,247.87,31853630,247.49,247.87,247.37
